,Title,Location,Area Per Sqft,Builder,Status,Price in Lakhs
0,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
1,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
2,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
3,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
4,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
5,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
6,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
7,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
8,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
9,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
10,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
11,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
12,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
13,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
14,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
15,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
16,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
17,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
18,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
19,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
20,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
21,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
22,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
23,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
24,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
25,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
26,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
27,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
28,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
29,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
30,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
31,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
32,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
33,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
34,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
35,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
36,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
37,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
38,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
39,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
40,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
41,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
42,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
43,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
44,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
45,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
46,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
47,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
48,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
49,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
50,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
51,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
52,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
53,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
54,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
